IOC_TEST:m0s002-Enc01-PosAct   2022-11-08 14:07:19.279170 2147.48  
IOC_TEST:m0s005-AI01           2022-11-08 14:08:29.279171 9.49101  
IOC_TEST:m0s005-AI02           2022-11-08 14:08:29.279171 12.6325  
IOC_TEST:m0s005-AI03           2022-11-08 14:08:29.179168 13.0311  
IOC_TEST:m0s005-AI04           2022-11-08 14:08:29.279171 12.2889  
IOC_TEST:m0s005-AI01           2022-11-08 14:08:29.379220 9.49592  
IOC_TEST:m0s005-AI02           2022-11-08 14:08:29.379220 12.6371  
IOC_TEST:m0s005-AI03           2022-11-08 14:08:29.379220 13.0267  
IOC_TEST:m0s005-AI04           2022-11-08 14:08:29.379220 12.2896  
IOC_TEST:m0s005-AI01           2022-11-08 14:08:29.479169 9.50657  
IOC_TEST:m0s005-AI02           2022-11-08 14:08:29.479169 12.6263  
IOC_TEST:m0s005-AI03           2022-11-08 14:08:29.479169 13.0252  
IOC_TEST:m0s005-AI04           2022-11-08 14:08:29.479169 12.2889  
IOC_TEST:m0s005-AI01           2022-11-08 14:08:29.579229 9.50985  
IOC_TEST:m0s005-AI02           2022-11-08 14:08:29.579229 12.6233  
IOC_TEST:m0s005-AI03           2022-11-08 14:08:29.579229 13.0267  
IOC_TEST:m0s005-AI04           2022-11-08 14:08:29.579229 12.2911  
IOC_TEST:m0s005-AI01           2022-11-08 14:08:29.679168 9.50739  
IOC_TEST:m0s005-AI02           2022-11-08 14:08:29.679168 12.6217  
IOC_TEST:m0s005-AI03           2022-11-08 14:08:29.679168 13.0252  
IOC_TEST:m0s005-AI04           2022-11-08 14:08:29.679168 12.2882  
IOC_TEST:m0s005-AI01           2022-11-08 14:08:29.779169 9.49592  
IOC_TEST:m0s005-AI02           2022-11-08 14:08:29.779169 12.6371  
IOC_TEST:m0s005-AI03           2022-11-08 14:08:29.779169 13.0222  
IOC_TEST:m0s005-AI04           2022-11-08 14:08:29.779169 12.2889  
IOC_TEST:m0s005-AI02           2022-11-08 14:08:29.879170 12.6355  
IOC_TEST:m0s005-AI03           2022-11-08 14:08:29.879170 13.0237  
IOC_TEST:m0s005-AI01           2022-11-08 14:08:29.979166 9.50002  
IOC_TEST:m0s005-AI02           2022-11-08 14:08:29.979166 12.6325  
IOC_TEST:m0s005-AI03           2022-11-08 14:08:29.979166 13.0252  
IOC_TEST:m0s005-AI04           2022-11-08 14:08:29.979166 12.2882  
IOC_TEST:m0s005-AI01           2022-11-08 14:08:30.079170 9.50821  
IOC_TEST:m0s005-AI02           2022-11-08 14:08:30.079170 12.6309  
IOC_TEST:m0s005-AI03           2022-11-08 14:08:30.079170 13.0207  
IOC_TEST:m0s005-AI04           2022-11-08 14:08:30.079170 12.2875  
IOC_TEST:m0s005-AI01           2022-11-08 14:08:30.179170 9.50985  
IOC_TEST:m0s005-AI02           2022-11-08 14:08:30.179170 12.6217  
IOC_TEST:m0s005-AI03           2022-11-08 14:08:30.179170 13.0252  
IOC_TEST:m0s005-AI04           2022-11-08 14:08:30.179170 12.2889  
IOC_TEST:m0s005-AI01           2022-11-08 14:08:30.279169 9.50657  
IOC_TEST:m0s005-AI02           2022-11-08 14:08:30.279169 12.6279  
IOC_TEST:m0s005-AI03           2022-11-08 14:08:30.279169 13.0207  
IOC_TEST:m0s005-AI04           2022-11-08 14:08:30.279169 12.2875  
IOC_TEST:m0s005-AI01           2022-11-08 14:08:30.379169 9.49674  
IOC_TEST:m0s005-AI02           2022-11-08 14:08:30.379169 12.6355  
IOC_TEST:m0s005-AI03           2022-11-08 14:08:30.379169 13.0237  
IOC_TEST:m0s005-AI04           2022-11-08 14:08:30.379169 12.2882  
IOC_TEST:m0s005-AI01           2022-11-08 14:08:30.479166 9.50002  
IOC_TEST:m0s005-AI03           2022-11-08 14:08:30.479166 13.0252  
IOC_TEST:m0s005-AI04           2022-11-08 14:08:30.479166 12.2875  
IOC_TEST:m0s005-AI01           2022-11-08 14:08:30.579169 9.50084  
IOC_TEST:m0s005-AI02           2022-11-08 14:08:30.579169 12.6309  
IOC_TEST:m0s005-AI04           2022-11-08 14:08:30.579169 12.2882  
IOC_TEST:m0s005-AI01           2022-11-08 14:08:30.679167 9.50985  
IOC_TEST:m0s005-AI02           2022-11-08 14:08:30.679167 12.6187  
IOC_TEST:m0s005-AI03           2022-11-08 14:08:30.679167 13.0237  
IOC_TEST:m0s005-AI01           2022-11-08 14:08:30.779221 9.51312  
IOC_TEST:m0s005-AI02           2022-11-08 14:08:30.779221 12.6125  
IOC_TEST:m0s005-AI04           2022-11-08 14:08:30.779221 12.2867  
IOC_TEST:m0s005-AI01           2022-11-08 14:08:30.879169 9.50821  
IOC_TEST:m0s005-AI02           2022-11-08 14:08:30.879169 12.6202  
IOC_TEST:m0s005-AI04           2022-11-08 14:08:30.879169 12.2889  
IOC_TEST:m0s005-AI01           2022-11-08 14:08:30.979165 9.50165  
IOC_TEST:m0s005-AI02           2022-11-08 14:08:30.979165 12.6355  
IOC_TEST:m0s005-AI03           2022-11-08 14:08:30.979165 13.0311  
IOC_TEST:m0s005-AI04           2022-11-08 14:08:30.979165 12.2875  
IOC_TEST:m0s005-AI01           2022-11-08 14:08:31.079167 9.4951  
IOC_TEST:m0s005-AI03           2022-11-08 14:08:31.079167 13.0252  
IOC_TEST:m0s005-AI04           2022-11-08 14:08:31.079167 12.2889  
IOC_TEST:m0s005-AI01           2022-11-08 14:08:31.179173 9.49756  
IOC_TEST:m0s005-AI02           2022-11-08 14:08:31.179173 12.6309  
IOC_TEST:m0s005-AI03           2022-11-08 14:08:31.179173 13.0237  
IOC_TEST:m0s005-AI01           2022-11-08 14:08:31.279269 9.50821  
IOC_TEST:m0s005-AI02           2022-11-08 14:08:31.279269 12.6202  
IOC_TEST:m0s005-AI03           2022-11-08 14:08:31.279269 13.0281  
IOC_TEST:m0s005-AI04           2022-11-08 14:08:31.279269 12.286  
IOC_TEST:m0s005-AI01           2022-11-08 14:08:31.379170 9.51394  
