IOC_TEST:m0s002-Enc01-PosAct   2022-11-08 13:51:47.879170 2147.48  
IOC_TEST:m0s005-AI01           2022-11-08 13:54:02.979166 10.907  
IOC_TEST:m0s005-AI02           2022-11-08 13:54:02.979166 11.6131  
IOC_TEST:m0s005-AI03           2022-11-08 13:54:02.979166 12.2358  
IOC_TEST:m0s005-AI04           2022-11-08 13:54:02.979166 12.1593  
IOC_TEST:m0s005-AI01           2022-11-08 13:54:03.079170 10.88  
IOC_TEST:m0s005-AI02           2022-11-08 13:54:03.079170 11.6404  
IOC_TEST:m0s005-AI03           2022-11-08 13:54:03.079170 12.2462  
IOC_TEST:m0s005-AI04           2022-11-08 13:54:03.079170 12.1607  
IOC_TEST:m0s005-AI01           2022-11-08 13:54:03.179167 10.8752  
IOC_TEST:m0s005-AI02           2022-11-08 13:54:03.179167 11.6459  
IOC_TEST:m0s005-AI03           2022-11-08 13:54:03.179167 12.2477  
IOC_TEST:m0s005-AI01           2022-11-08 13:54:03.279169 10.9022  
IOC_TEST:m0s005-AI02           2022-11-08 13:54:03.279169 11.6262  
IOC_TEST:m0s005-AI03           2022-11-08 13:54:03.279169 12.2298  
IOC_TEST:m0s005-AI04           2022-11-08 13:54:03.279169 12.1571  
IOC_TEST:m0s005-AI01           2022-11-08 13:54:03.379170 10.9359  
IOC_TEST:m0s005-AI02           2022-11-08 13:54:03.379170 11.5967  
IOC_TEST:m0s005-AI03           2022-11-08 13:54:03.379170 12.209  
IOC_TEST:m0s005-AI04           2022-11-08 13:54:03.379170 12.155  
IOC_TEST:m0s005-AI01           2022-11-08 13:54:03.479169 10.961  
IOC_TEST:m0s005-AI02           2022-11-08 13:54:03.479169 11.5738  
IOC_TEST:m0s005-AI03           2022-11-08 13:54:03.479169 12.2045  
IOC_TEST:m0s005-AI04           2022-11-08 13:54:03.479169 12.1521  
IOC_TEST:m0s005-AI01           2022-11-08 13:54:03.579170 10.9369  
IOC_TEST:m0s005-AI02           2022-11-08 13:54:03.579170 11.5913  
IOC_TEST:m0s005-AI03           2022-11-08 13:54:03.579170 12.2164  
IOC_TEST:m0s005-AI04           2022-11-08 13:54:03.579170 12.1535  
IOC_TEST:m0s005-AI01           2022-11-08 13:54:03.679167 10.9051  
IOC_TEST:m0s005-AI02           2022-11-08 13:54:03.679167 11.6186  
IOC_TEST:m0s005-AI03           2022-11-08 13:54:03.679167 12.2328  
IOC_TEST:m0s005-AI04           2022-11-08 13:54:03.679167 12.16  
IOC_TEST:m0s005-AI01           2022-11-08 13:54:03.779173 10.8858  
IOC_TEST:m0s005-AI02           2022-11-08 13:54:03.779173 11.6382  
IOC_TEST:m0s005-AI03           2022-11-08 13:54:03.779173 12.2417  
IOC_TEST:m0s005-AI04           2022-11-08 13:54:03.779173 12.1622  
IOC_TEST:m0s005-AI01           2022-11-08 13:54:03.879171 10.8954  
IOC_TEST:m0s005-AI02           2022-11-08 13:54:03.879171 11.6306  
IOC_TEST:m0s005-AI03           2022-11-08 13:54:03.879171 12.2358  
IOC_TEST:m0s005-AI04           2022-11-08 13:54:03.879171 12.1593  
IOC_TEST:m0s005-AI01           2022-11-08 13:54:03.979171 10.9272  
IOC_TEST:m0s005-AI02           2022-11-08 13:54:03.979171 11.6044  
IOC_TEST:m0s005-AI03           2022-11-08 13:54:03.979171 12.2194  
IOC_TEST:m0s005-AI04           2022-11-08 13:54:03.979171 12.1557  
IOC_TEST:m0s005-AI01           2022-11-08 13:54:04.079170 10.9581  
IOC_TEST:m0s005-AI02           2022-11-08 13:54:04.079170 11.576  
IOC_TEST:m0s005-AI03           2022-11-08 13:54:04.079170 12.209  
IOC_TEST:m0s005-AI04           2022-11-08 13:54:04.079170 12.1521  
IOC_TEST:m0s005-AI01           2022-11-08 13:54:04.179187 10.9475  
IOC_TEST:m0s005-AI02           2022-11-08 13:54:04.179187 11.5847  
IOC_TEST:m0s005-AI03           2022-11-08 13:54:04.179187 12.2104  
IOC_TEST:m0s005-AI04           2022-11-08 13:54:04.179187 12.155  
IOC_TEST:m0s005-AI01           2022-11-08 13:54:04.279171 10.9176  
IOC_TEST:m0s005-AI02           2022-11-08 13:54:04.279171 11.6076  
IOC_TEST:m0s005-AI03           2022-11-08 13:54:04.279171 12.2239  
IOC_TEST:m0s005-AI04           2022-11-08 13:54:04.279171 12.1564  
IOC_TEST:m0s005-AI01           2022-11-08 13:54:04.379173 10.8858  
IOC_TEST:m0s005-AI02           2022-11-08 13:54:04.379173 11.6382  
IOC_TEST:m0s005-AI03           2022-11-08 13:54:04.379173 12.2432  
IOC_TEST:m0s005-AI04           2022-11-08 13:54:04.379173 12.1607  
IOC_TEST:m0s005-AI01           2022-11-08 13:54:04.479170 10.8945  
IOC_TEST:m0s005-AI02           2022-11-08 13:54:04.479170 11.6284  
IOC_TEST:m0s005-AI03           2022-11-08 13:54:04.479170 12.2358  
IOC_TEST:m0s005-AI04           2022-11-08 13:54:04.479170 12.1593  
IOC_TEST:m0s005-AI01           2022-11-08 13:54:04.579169 10.9176  
IOC_TEST:m0s005-AI02           2022-11-08 13:54:04.579169 11.612  
IOC_TEST:m0s005-AI03           2022-11-08 13:54:04.579169 12.2224  
IOC_TEST:m0s005-AI04           2022-11-08 13:54:04.579169 12.1578  
IOC_TEST:m0s005-AI01           2022-11-08 13:54:04.679171 10.9494  
IOC_TEST:m0s005-AI02           2022-11-08 13:54:04.679171 11.5869  
IOC_TEST:m0s005-AI03           2022-11-08 13:54:04.679171 12.2045  
IOC_TEST:m0s005-AI04           2022-11-08 13:54:04.679171 12.1506  
IOC_TEST:m0s005-AI01           2022-11-08 13:54:04.779171 10.9504  
IOC_TEST:m0s005-AI02           2022-11-08 13:54:04.779171 11.5803  
IOC_TEST:m0s005-AI03           2022-11-08 13:54:04.779171 12.209  
IOC_TEST:m0s005-AI04           2022-11-08 13:54:04.779171 12.1521  
IOC_TEST:m0s005-AI01           2022-11-08 13:54:04.879173 10.9243  
IOC_TEST:m0s005-AI02           2022-11-08 13:54:04.879173 11.6055  
IOC_TEST:m0s005-AI03           2022-11-08 13:54:04.879173 12.2239  
IOC_TEST:m0s005-AI04           2022-11-08 13:54:04.879173 12.1557  
IOC_TEST:m0s005-AI01           2022-11-08 13:54:04.979169 10.8935  
IOC_TEST:m0s005-AI02           2022-11-08 13:54:04.979169 11.6284  
IOC_TEST:m0s005-AI03           2022-11-08 13:54:04.979169 12.2402  
IOC_TEST:m0s005-AI04           2022-11-08 13:54:04.979169 12.16  
IOC_TEST:m0s005-AI01           2022-11-08 13:54:05.079167 10.8839  
IOC_TEST:m0s005-AI02           2022-11-08 13:54:05.079167 11.6338  
IOC_TEST:m0s005-AI03           2022-11-08 13:54:05.079167 12.2462  
IOC_TEST:m0s005-AI04           2022-11-08 13:54:05.079167 12.1593  
IOC_TEST:m0s005-AI01           2022-11-08 13:54:05.179171 10.9118  
IOC_TEST:m0s005-AI02           2022-11-08 13:54:05.179171 11.612  
IOC_TEST:m0s005-AI03           2022-11-08 13:54:05.179171 12.2328  
IOC_TEST:m0s005-AI04           2022-11-08 13:54:05.179171 12.1571  
IOC_TEST:m0s005-AI01           2022-11-08 13:54:05.279172 10.9446  
IOC_TEST:m0s005-AI02           2022-11-08 13:54:05.279172 11.5869  
IOC_TEST:m0s005-AI03           2022-11-08 13:54:05.279172 12.2134  
IOC_TEST:m0s005-AI01           2022-11-08 13:54:05.379173 10.9561  
IOC_TEST:m0s005-AI02           2022-11-08 13:54:05.379173 11.5792  
IOC_TEST:m0s005-AI03           2022-11-08 13:54:05.379173 12.2075  
IOC_TEST:m0s005-AI04           2022-11-08 13:54:05.379173 12.1535  
IOC_TEST:m0s005-AI01           2022-11-08 13:54:05.479166 10.933  
IOC_TEST:m0s005-AI02           2022-11-08 13:54:05.479166 11.5956  
IOC_TEST:m0s005-AI03           2022-11-08 13:54:05.479166 12.2164  
IOC_TEST:m0s005-AI04           2022-11-08 13:54:05.479166 12.1557  
