IOC_TEST:m0s002-Enc01-PosAct   2022-11-08 12:47:02.978155 2147.48  
IOC_TEST:m0s005-AI01           2022-11-08 13:17:42.979217 12.565  
IOC_TEST:m0s005-AI02           2022-11-08 13:17:42.979217 10.5187  
IOC_TEST:m0s005-AI03           2022-11-08 13:17:42.979217 10.9126  
IOC_TEST:m0s005-AI04           2022-11-08 13:17:42.979217 11.9314  
IOC_TEST:m0s005-AI01           2022-11-08 13:17:43.079166 12.5875  
IOC_TEST:m0s005-AI02           2022-11-08 13:17:43.079166 10.4965  
IOC_TEST:m0s005-AI03           2022-11-08 13:17:43.079166 10.9094  
IOC_TEST:m0s005-AI04           2022-11-08 13:17:43.079166 11.9281  
IOC_TEST:m0s005-AI01           2022-11-08 13:17:43.179169 12.6039  
IOC_TEST:m0s005-AI02           2022-11-08 13:17:43.179169 10.4908  
IOC_TEST:m0s005-AI03           2022-11-08 13:17:43.179169 10.904  
IOC_TEST:m0s005-AI04           2022-11-08 13:17:43.179169 11.9288  
IOC_TEST:m0s005-AI01           2022-11-08 13:17:43.279170 12.5814  
IOC_TEST:m0s005-AI02           2022-11-08 13:17:43.279170 10.5034  
IOC_TEST:m0s005-AI03           2022-11-08 13:17:43.279170 10.9115  
IOC_TEST:m0s005-AI01           2022-11-08 13:17:43.379171 12.567  
IOC_TEST:m0s005-AI02           2022-11-08 13:17:43.379171 10.5208  
IOC_TEST:m0s005-AI03           2022-11-08 13:17:43.379171 10.9147  
IOC_TEST:m0s005-AI04           2022-11-08 13:17:43.379171 11.9301  
IOC_TEST:m0s005-AI01           2022-11-08 13:17:43.479170 12.5343  
IOC_TEST:m0s005-AI02           2022-11-08 13:17:43.479170 10.5405  
IOC_TEST:m0s005-AI03           2022-11-08 13:17:43.479170 10.9275  
IOC_TEST:m0s005-AI04           2022-11-08 13:17:43.479170 11.9326  
IOC_TEST:m0s005-AI01           2022-11-08 13:17:43.579166 12.5466  
IOC_TEST:m0s005-AI02           2022-11-08 13:17:43.579166 10.5318  
IOC_TEST:m0s005-AI03           2022-11-08 13:17:43.579166 10.9211  
IOC_TEST:m0s005-AI01           2022-11-08 13:17:43.679168 12.5773  
IOC_TEST:m0s005-AI02           2022-11-08 13:17:43.679168 10.5121  
IOC_TEST:m0s005-AI03           2022-11-08 13:17:43.679168 10.9104  
IOC_TEST:m0s005-AI04           2022-11-08 13:17:43.679168 11.9301  
IOC_TEST:m0s005-AI01           2022-11-08 13:17:43.779166 12.5875  
IOC_TEST:m0s005-AI02           2022-11-08 13:17:43.779166 10.4958  
IOC_TEST:m0s005-AI03           2022-11-08 13:17:43.779166 10.903  
IOC_TEST:m0s005-AI04           2022-11-08 13:17:43.779166 11.9275  
IOC_TEST:m0s005-AI01           2022-11-08 13:17:43.879167 12.5998  
IOC_TEST:m0s005-AI02           2022-11-08 13:17:43.879167 10.4915  
IOC_TEST:m0s005-AI03           2022-11-08 13:17:43.879167 10.9008  
IOC_TEST:m0s005-AI04           2022-11-08 13:17:43.879167 11.9281  
IOC_TEST:m0s005-AI01           2022-11-08 13:17:43.979171 12.5793  
IOC_TEST:m0s005-AI02           2022-11-08 13:17:43.979171 10.5066  
IOC_TEST:m0s005-AI03           2022-11-08 13:17:43.979171 10.9072  
IOC_TEST:m0s005-AI04           2022-11-08 13:17:43.979171 11.9288  
IOC_TEST:m0s005-AI01           2022-11-08 13:17:44.079170 12.5466  
IOC_TEST:m0s005-AI02           2022-11-08 13:17:44.079170 10.5361  
IOC_TEST:m0s005-AI03           2022-11-08 13:17:44.079170 10.9222  
IOC_TEST:m0s005-AI04           2022-11-08 13:17:44.079170 11.9326  
IOC_TEST:m0s005-AI01           2022-11-08 13:17:44.179170 12.5384  
IOC_TEST:m0s005-AI02           2022-11-08 13:17:44.179170 10.5416  
IOC_TEST:m0s005-AI04           2022-11-08 13:17:44.179170 11.932  
IOC_TEST:m0s005-AI01           2022-11-08 13:17:44.279169 12.5548  
IOC_TEST:m0s005-AI02           2022-11-08 13:17:44.279169 10.5252  
IOC_TEST:m0s005-AI03           2022-11-08 13:17:44.279169 10.919  
IOC_TEST:m0s005-AI04           2022-11-08 13:17:44.279169 11.9314  
