IOC_TEST:m0s002-Enc01-PosAct   2022-11-08 12:47:02.978155 2147.48  
IOC_TEST:m0s005-AI01           2022-11-08 13:10:07.679170 11.545  
IOC_TEST:m0s005-AI02           2022-11-08 13:10:07.679170 11.2537  
IOC_TEST:m0s005-AI03           2022-11-08 13:10:07.679170 11.6947  
IOC_TEST:m0s005-AI04           2022-11-08 13:10:07.679170 12.021  
IOC_TEST:m0s005-AI01           2022-11-08 13:10:07.779171 11.5421  
IOC_TEST:m0s005-AI02           2022-11-08 13:10:07.779171 11.2581  
IOC_TEST:m0s005-AI03           2022-11-08 13:10:07.779171 11.6915  
IOC_TEST:m0s005-AI04           2022-11-08 13:10:07.779171 12.0196  
IOC_TEST:m0s005-AI01           2022-11-08 13:10:07.879169 11.546  
IOC_TEST:m0s005-AI02           2022-11-08 13:10:07.879169 11.257  
IOC_TEST:m0s005-AI03           2022-11-08 13:10:07.879169 11.6979  
IOC_TEST:m0s005-AI04           2022-11-08 13:10:07.879169 12.021  
IOC_TEST:m0s005-AI01           2022-11-08 13:10:07.979166 11.5382  
IOC_TEST:m0s005-AI02           2022-11-08 13:10:07.979166 11.2647  
IOC_TEST:m0s005-AI03           2022-11-08 13:10:07.979166 11.7001  
IOC_TEST:m0s005-AI04           2022-11-08 13:10:07.979166 12.0224  
IOC_TEST:m0s005-AI01           2022-11-08 13:10:08.079169 11.5325  
IOC_TEST:m0s005-AI02           2022-11-08 13:10:08.079169 11.2701  
IOC_TEST:m0s005-AI04           2022-11-08 13:10:08.079169 12.0196  
IOC_TEST:m0s005-AI01           2022-11-08 13:10:08.179166 11.5373  
IOC_TEST:m0s005-AI02           2022-11-08 13:10:08.179166 11.2614  
IOC_TEST:m0s005-AI03           2022-11-08 13:10:08.179166 11.6969  
IOC_TEST:m0s005-AI04           2022-11-08 13:10:08.179166 12.0217  
IOC_TEST:m0s005-AI01           2022-11-08 13:10:08.279170 11.5402  
IOC_TEST:m0s005-AI02           2022-11-08 13:10:08.279170 11.2603  
IOC_TEST:m0s005-AI04           2022-11-08 13:10:08.279170 12.0188  
IOC_TEST:m0s005-AI01           2022-11-08 13:10:08.379170 11.5431  
IOC_TEST:m0s005-AI02           2022-11-08 13:10:08.379170 11.2581  
IOC_TEST:m0s005-AI03           2022-11-08 13:10:08.379170 11.6937  
IOC_TEST:m0s005-AI04           2022-11-08 13:10:08.379170 12.021  
IOC_TEST:m0s005-AI01           2022-11-08 13:10:08.479209 11.5411  
IOC_TEST:m0s005-AI04           2022-11-08 13:10:08.479209 12.0196  
IOC_TEST:m0s005-AI01           2022-11-08 13:10:08.579171 11.5344  
IOC_TEST:m0s005-AI02           2022-11-08 13:10:08.579171 11.2625  
IOC_TEST:m0s005-AI03           2022-11-08 13:10:08.579171 11.7033  
IOC_TEST:m0s005-AI04           2022-11-08 13:10:08.579171 12.0217  
