IOC_TEST:m0s002-Enc01-PosAct   2022-11-08 13:33:45.179168 2147.48  
IOC_TEST:m0s005-AI01           2022-11-08 13:37:20.079173 11.0593  
IOC_TEST:m0s005-AI02           2022-11-08 13:37:20.079173 13.1132  
IOC_TEST:m0s005-AI03           2022-11-08 13:37:20.079173 10.7715  
IOC_TEST:m0s005-AI04           2022-11-08 13:37:20.079173 12.1686  
IOC_TEST:m0s005-AI01           2022-11-08 13:37:20.179174 11.0622  
IOC_TEST:m0s005-AI02           2022-11-08 13:37:20.179174 13.1102  
IOC_TEST:m0s005-AI03           2022-11-08 13:37:20.179174 10.7683  
IOC_TEST:m0s005-AI04           2022-11-08 13:37:20.179174 12.1665  
IOC_TEST:m0s005-AI01           2022-11-08 13:37:20.279166 11.0641  
IOC_TEST:m0s005-AI03           2022-11-08 13:37:20.279166 10.7673  
IOC_TEST:m0s005-AI01           2022-11-08 13:37:20.379171 11.0564  
IOC_TEST:m0s005-AI02           2022-11-08 13:37:20.379171 13.1225  
IOC_TEST:m0s005-AI03           2022-11-08 13:37:20.379171 10.7694  
IOC_TEST:m0s005-AI01           2022-11-08 13:37:20.479168 11.0525  
IOC_TEST:m0s005-AI02           2022-11-08 13:37:20.479168 13.1271  
IOC_TEST:m0s005-AI03           2022-11-08 13:37:20.479168 10.7737  
IOC_TEST:m0s005-AI04           2022-11-08 13:37:20.479168 12.1686  
IOC_TEST:m0s005-AI01           2022-11-08 13:37:20.579168 11.0487  
IOC_TEST:m0s005-AI02           2022-11-08 13:37:20.579168 13.1332  
IOC_TEST:m0s005-AI03           2022-11-08 13:37:20.579168 10.7758  
IOC_TEST:m0s005-AI04           2022-11-08 13:37:20.579168 12.1679  
IOC_TEST:m0s005-AI01           2022-11-08 13:37:20.679167 11.0506  
IOC_TEST:m0s005-AI02           2022-11-08 13:37:20.679167 13.1271  
IOC_TEST:m0s005-AI03           2022-11-08 13:37:20.679167 10.7769  
IOC_TEST:m0s005-AI04           2022-11-08 13:37:20.679167 12.1686  
IOC_TEST:m0s005-AI01           2022-11-08 13:37:20.779166 11.0631  
IOC_TEST:m0s005-AI02           2022-11-08 13:37:20.779166 13.1086  
IOC_TEST:m0s005-AI03           2022-11-08 13:37:20.779166 10.7705  
IOC_TEST:m0s005-AI04           2022-11-08 13:37:20.779166 12.1679  
IOC_TEST:m0s005-AI01           2022-11-08 13:37:20.879166 11.0602  
IOC_TEST:m0s005-AI02           2022-11-08 13:37:20.879166 13.1132  
IOC_TEST:m0s005-AI03           2022-11-08 13:37:20.879166 10.7683  
IOC_TEST:m0s005-AI01           2022-11-08 13:37:20.979167 11.0583  
IOC_TEST:m0s005-AI02           2022-11-08 13:37:20.979167 13.1209  
IOC_TEST:m0s005-AI03           2022-11-08 13:37:20.979167 10.7705  
IOC_TEST:m0s005-AI02           2022-11-08 13:37:21.079167 13.1178  
IOC_TEST:m0s005-AI03           2022-11-08 13:37:21.079167 10.7715  
IOC_TEST:m0s005-AI01           2022-11-08 13:37:21.179173 11.0544  
IOC_TEST:m0s005-AI02           2022-11-08 13:37:21.179173 13.1209  
IOC_TEST:m0s005-AI03           2022-11-08 13:37:21.179173 10.7737  
IOC_TEST:m0s005-AI04           2022-11-08 13:37:21.179173 12.1672  
IOC_TEST:m0s005-AI01           2022-11-08 13:37:21.279171 11.0564  
IOC_TEST:m0s005-AI02           2022-11-08 13:37:21.279171 13.1163  
IOC_TEST:m0s005-AI03           2022-11-08 13:37:21.279171 10.7758  
IOC_TEST:m0s005-AI04           2022-11-08 13:37:21.279171 12.1679  
IOC_TEST:m0s005-AI01           2022-11-08 13:37:21.379171 11.0631  
IOC_TEST:m0s005-AI02           2022-11-08 13:37:21.379171 13.1148  
IOC_TEST:m0s005-AI03           2022-11-08 13:37:21.379171 10.7705  
IOC_TEST:m0s005-AI04           2022-11-08 13:37:21.379171 12.1665  
IOC_TEST:m0s005-AI01           2022-11-08 13:37:21.479210 11.0602  
IOC_TEST:m0s005-AI02           2022-11-08 13:37:21.479210 13.1163  
IOC_TEST:m0s005-AI03           2022-11-08 13:37:21.479210 10.7673  
IOC_TEST:m0s005-AI01           2022-11-08 13:37:21.579208 11.0622  
IOC_TEST:m0s005-AI02           2022-11-08 13:37:21.579208 13.1225  
IOC_TEST:m0s005-AI04           2022-11-08 13:37:21.579208 12.1679  
IOC_TEST:m0s005-AI01           2022-11-08 13:37:21.679207 11.0583  
IOC_TEST:m0s005-AI02           2022-11-08 13:37:21.679207 13.1194  
IOC_TEST:m0s005-AI03           2022-11-08 13:37:21.679207 10.7662  
IOC_TEST:m0s005-AI04           2022-11-08 13:37:21.679207 12.1665  
IOC_TEST:m0s005-AI01           2022-11-08 13:37:21.779208 11.0496  
IOC_TEST:m0s005-AI02           2022-11-08 13:37:21.779208 13.1286  
IOC_TEST:m0s005-AI03           2022-11-08 13:37:21.779208 10.779  
IOC_TEST:m0s005-AI04           2022-11-08 13:37:21.779208 12.1672  
IOC_TEST:m0s005-AI02           2022-11-08 13:37:21.879196 13.1271  
IOC_TEST:m0s005-AI03           2022-11-08 13:37:21.879196 10.7758  
IOC_TEST:m0s005-AI04           2022-11-08 13:37:21.879196 12.1679  
IOC_TEST:m0s005-AI01           2022-11-08 13:37:21.979166 11.0593  
IOC_TEST:m0s005-AI02           2022-11-08 13:37:21.979166 13.1225  
IOC_TEST:m0s005-AI04           2022-11-08 13:37:21.979166 12.1672  
IOC_TEST:m0s005-AI03           2022-11-08 13:37:22.079168 10.7694  
IOC_TEST:m0s005-AI04           2022-11-08 13:37:22.079168 12.1658  
IOC_TEST:m0s005-AI01           2022-11-08 13:37:22.179170 11.065  
IOC_TEST:m0s005-AI02           2022-11-08 13:37:22.179170 13.1178  
IOC_TEST:m0s005-AI03           2022-11-08 13:37:22.179170 10.7705  
IOC_TEST:m0s005-AI04           2022-11-08 13:37:22.179170 12.1672  
