IOC_TEST:m0s002-Enc01-PosAct   2022-11-08 13:24:08.379170 2147.48  
IOC_TEST:m0s005-AI01           2022-11-08 13:32:58.679174 11.04  
IOC_TEST:m0s005-AI02           2022-11-08 13:32:58.679174 11.3127  
IOC_TEST:m0s005-AI03           2022-11-08 13:32:58.679174 12.3549  
IOC_TEST:m0s005-AI04           2022-11-08 13:32:58.679174 12.1442  
IOC_TEST:m0s005-AI01           2022-11-08 13:32:58.779170 11.0419  
IOC_TEST:m0s005-AI02           2022-11-08 13:32:58.779170 11.3095  
IOC_TEST:m0s005-AI03           2022-11-08 13:32:58.779170 12.3505  
IOC_TEST:m0s005-AI04           2022-11-08 13:32:58.779170 12.1434  
IOC_TEST:m0s005-AI01           2022-11-08 13:32:58.879217 11.0438  
IOC_TEST:m0s005-AI02           2022-11-08 13:32:58.879217 11.3051  
IOC_TEST:m0s005-AI03           2022-11-08 13:32:58.879217 12.3519  
IOC_TEST:m0s005-AI01           2022-11-08 13:32:58.979169 11.041  
IOC_TEST:m0s005-AI02           2022-11-08 13:32:58.979169 11.3105  
IOC_TEST:m0s005-AI03           2022-11-08 13:32:58.979169 12.3534  
IOC_TEST:m0s005-AI04           2022-11-08 13:32:58.979169 12.1442  
IOC_TEST:m0s005-AI01           2022-11-08 13:32:59.079169 11.0332  
IOC_TEST:m0s005-AI02           2022-11-08 13:32:59.079169 11.316  
IOC_TEST:m0s005-AI03           2022-11-08 13:32:59.079169 12.3549  
IOC_TEST:m0s005-AI04           2022-11-08 13:32:59.079169 12.1449  
IOC_TEST:m0s005-AI01           2022-11-08 13:32:59.179170 11.0352  
IOC_TEST:m0s005-AI02           2022-11-08 13:32:59.179170 11.3138  
IOC_TEST:m0s005-AI03           2022-11-08 13:32:59.179170 12.3579  
IOC_TEST:m0s005-AI04           2022-11-08 13:32:59.179170 12.1456  
IOC_TEST:m0s005-AI01           2022-11-08 13:32:59.279166 11.041  
IOC_TEST:m0s005-AI02           2022-11-08 13:32:59.279166 11.3116  
IOC_TEST:m0s005-AI03           2022-11-08 13:32:59.279166 12.3534  
IOC_TEST:m0s005-AI01           2022-11-08 13:32:59.379184 11.0429  
IOC_TEST:m0s005-AI02           2022-11-08 13:32:59.379184 11.3062  
IOC_TEST:m0s005-AI03           2022-11-08 13:32:59.379184 12.3519  
IOC_TEST:m0s005-AI04           2022-11-08 13:32:59.379184 12.1434  
IOC_TEST:m0s005-AI01           2022-11-08 13:32:59.479169 11.0467  
IOC_TEST:m0s005-AI02           2022-11-08 13:32:59.479169 11.3084  
IOC_TEST:m0s005-AI04           2022-11-08 13:32:59.479169 12.1427  
IOC_TEST:m0s005-AI01           2022-11-08 13:32:59.579171 11.0419  
IOC_TEST:m0s005-AI02           2022-11-08 13:32:59.579171 11.3051  
IOC_TEST:m0s005-AI04           2022-11-08 13:32:59.579171 12.1456  
IOC_TEST:m0s005-AI01           2022-11-08 13:32:59.679169 11.0352  
IOC_TEST:m0s005-AI02           2022-11-08 13:32:59.679169 11.3138  
IOC_TEST:m0s005-AI04           2022-11-08 13:32:59.679169 12.1427  
IOC_TEST:m0s005-AI01           2022-11-08 13:32:59.779169 11.0342  
IOC_TEST:m0s005-AI02           2022-11-08 13:32:59.779169 11.3127  
IOC_TEST:m0s005-AI04           2022-11-08 13:32:59.779169 12.1463  
IOC_TEST:m0s005-AI01           2022-11-08 13:32:59.879174 11.04  
IOC_TEST:m0s005-AI02           2022-11-08 13:32:59.879174 11.3105  
IOC_TEST:m0s005-AI03           2022-11-08 13:32:59.879174 12.3534  
IOC_TEST:m0s005-AI04           2022-11-08 13:32:59.879174 12.1456  
IOC_TEST:m0s005-AI01           2022-11-08 13:32:59.979167 11.0448  
IOC_TEST:m0s005-AI02           2022-11-08 13:32:59.979167 11.3018  
IOC_TEST:m0s005-AI03           2022-11-08 13:32:59.979167 12.349  
IOC_TEST:m0s005-AI04           2022-11-08 13:32:59.979167 12.1442  
IOC_TEST:m0s005-AI01           2022-11-08 13:33:00.079167 11.0477  
IOC_TEST:m0s005-AI02           2022-11-08 13:33:00.079167 11.2996  
IOC_TEST:m0s005-AI01           2022-11-08 13:33:00.179269 11.0467  
IOC_TEST:m0s005-AI03           2022-11-08 13:33:00.179269 12.3549  
IOC_TEST:m0s005-AI01           2022-11-08 13:33:00.279169 11.039  
IOC_TEST:m0s005-AI02           2022-11-08 13:33:00.279169 11.3116  
IOC_TEST:m0s005-AI03           2022-11-08 13:33:00.279169 12.3534  
IOC_TEST:m0s005-AI01           2022-11-08 13:33:00.379166 11.0352  
IOC_TEST:m0s005-AI02           2022-11-08 13:33:00.379166 11.316  
IOC_TEST:m0s005-AI03           2022-11-08 13:33:00.379166 12.3579  
IOC_TEST:m0s005-AI04           2022-11-08 13:33:00.379166 12.1427  
IOC_TEST:m0s005-AI01           2022-11-08 13:33:00.479170 11.0419  
IOC_TEST:m0s005-AI02           2022-11-08 13:33:00.479170 11.3105  
IOC_TEST:m0s005-AI03           2022-11-08 13:33:00.479170 12.3549  
IOC_TEST:m0s005-AI04           2022-11-08 13:33:00.479170 12.1442  
IOC_TEST:m0s005-AI01           2022-11-08 13:33:00.579210 11.041  
IOC_TEST:m0s005-AI02           2022-11-08 13:33:00.579210 11.3084  
IOC_TEST:m0s005-AI03           2022-11-08 13:33:00.579210 12.3534  
IOC_TEST:m0s005-AI04           2022-11-08 13:33:00.579210 12.1456  
IOC_TEST:m0s005-AI01           2022-11-08 13:33:00.679170 11.0438  
IOC_TEST:m0s005-AI02           2022-11-08 13:33:00.679170 11.3105  
IOC_TEST:m0s005-AI03           2022-11-08 13:33:00.679170 12.3505  
IOC_TEST:m0s005-AI04           2022-11-08 13:33:00.679170 12.1442  
