IOC_TEST:m0s002-Enc01-PosAct   2022-11-08 12:47:02.978155 2147.48  
IOC_TEST:m0s005-AI01           2022-11-08 13:02:50.479171 11.5074  
IOC_TEST:m0s005-AI02           2022-11-08 13:02:50.679220 10.0157  
IOC_TEST:m0s005-AI03           2022-11-08 13:02:50.679220 12.8747  
IOC_TEST:m0s005-AI04           2022-11-08 13:02:50.679220 12.0131  
IOC_TEST:m0s005-AI01           2022-11-08 13:02:50.779203 11.5103  
IOC_TEST:m0s005-AI02           2022-11-08 13:02:50.779203 10.015  
IOC_TEST:m0s005-AI03           2022-11-08 13:02:50.779203 12.8777  
IOC_TEST:m0s005-AI04           2022-11-08 13:02:50.779203 12.0138  
IOC_TEST:m0s005-AI01           2022-11-08 13:02:50.879166 11.5113  
IOC_TEST:m0s005-AI02           2022-11-08 13:02:50.879166 10.0128  
IOC_TEST:m0s005-AI03           2022-11-08 13:02:50.879166 12.8852  
IOC_TEST:m0s005-AI01           2022-11-08 13:02:50.979208 11.5074  
IOC_TEST:m0s005-AI02           2022-11-08 13:02:50.979208 10.015  
IOC_TEST:m0s005-AI03           2022-11-08 13:02:50.979208 12.8807  
IOC_TEST:m0s005-AI04           2022-11-08 13:02:50.979208 12.0152  
IOC_TEST:m0s005-AI01           2022-11-08 13:02:51.079168 11.5026  
IOC_TEST:m0s005-AI02           2022-11-08 13:02:51.079168 10.0185  
IOC_TEST:m0s005-AI03           2022-11-08 13:02:51.079168 12.8822  
IOC_TEST:m0s005-AI04           2022-11-08 13:02:51.079168 12.0167  
IOC_TEST:m0s005-AI02           2022-11-08 13:02:51.179169 10.0207  
IOC_TEST:m0s005-AI03           2022-11-08 13:02:51.179169 12.8837  
IOC_TEST:m0s005-AI04           2022-11-08 13:02:51.179169 12.0152  
IOC_TEST:m0s005-AI01           2022-11-08 13:02:51.279170 11.5093  
IOC_TEST:m0s005-AI02           2022-11-08 13:02:51.279170 10.015  
IOC_TEST:m0s005-AI03           2022-11-08 13:02:51.279170 12.8822  
IOC_TEST:m0s005-AI04           2022-11-08 13:02:51.279170 12.0138  
IOC_TEST:m0s005-AI01           2022-11-08 13:02:51.379167 11.5113  
IOC_TEST:m0s005-AI02           2022-11-08 13:02:51.379167 10.0121  
IOC_TEST:m0s005-AI03           2022-11-08 13:02:51.379167 12.8777  
IOC_TEST:m0s005-AI02           2022-11-08 13:02:51.479169 10.0114  
IOC_TEST:m0s005-AI03           2022-11-08 13:02:51.479169 12.8822  
IOC_TEST:m0s005-AI04           2022-11-08 13:02:51.479169 12.0152  
IOC_TEST:m0s005-AI01           2022-11-08 13:02:51.579169 11.5103  
IOC_TEST:m0s005-AI02           2022-11-08 13:02:51.579169 10.0128  
IOC_TEST:m0s005-AI03           2022-11-08 13:02:51.579169 12.8837  
IOC_TEST:m0s005-AI04           2022-11-08 13:02:51.579169 12.0138  
IOC_TEST:m0s005-AI01           2022-11-08 13:02:51.679169 11.5026  
IOC_TEST:m0s005-AI02           2022-11-08 13:02:51.679169 10.0185  
IOC_TEST:m0s005-AI04           2022-11-08 13:02:51.679169 12.0124  
IOC_TEST:m0s005-AI01           2022-11-08 13:02:51.779167 11.5074  
IOC_TEST:m0s005-AI02           2022-11-08 13:02:51.779167 10.0207  
IOC_TEST:m0s005-AI04           2022-11-08 13:02:51.779167 12.0138  
IOC_TEST:m0s005-AI01           2022-11-08 13:02:51.879166 11.5036  
IOC_TEST:m0s005-AI02           2022-11-08 13:02:51.879166 10.0185  
