IOC_TEST:m0s002-Enc01-PosAct   2022-11-08 12:47:02.978155 2147.48  
IOC_TEST:m0s005-AI01           2022-11-08 12:55:19.279172 11.5421  
IOC_TEST:m0s005-AI02           2022-11-08 12:55:19.279172 11.2931  
IOC_TEST:m0s005-AI03           2022-11-08 12:55:19.279172 11.6744  
IOC_TEST:m0s005-AI04           2022-11-08 12:55:19.279172 12.0224  
IOC_TEST:m0s005-AI01           2022-11-08 12:55:19.379170 11.5402  
IOC_TEST:m0s005-AI02           2022-11-08 12:55:19.379170 11.2953  
IOC_TEST:m0s005-AI03           2022-11-08 12:55:19.379170 11.6723  
IOC_TEST:m0s005-AI04           2022-11-08 12:55:19.379170 12.0232  
IOC_TEST:m0s005-AI01           2022-11-08 12:55:19.479166 11.5382  
IOC_TEST:m0s005-AI03           2022-11-08 12:55:19.479166 11.6744  
IOC_TEST:m0s005-AI04           2022-11-08 12:55:19.479166 12.0239  
IOC_TEST:m0s005-AI01           2022-11-08 12:55:19.579171 11.5411  
IOC_TEST:m0s005-AI03           2022-11-08 12:55:19.579171 11.6766  
IOC_TEST:m0s005-AI01           2022-11-08 12:55:19.679173 11.5402  
IOC_TEST:m0s005-AI02           2022-11-08 12:55:19.679173 11.292  
IOC_TEST:m0s005-AI03           2022-11-08 12:55:19.679173 11.6744  
IOC_TEST:m0s005-AI04           2022-11-08 12:55:19.679173 12.0246  
IOC_TEST:m0s005-AI01           2022-11-08 12:55:19.779170 11.5392  
IOC_TEST:m0s005-AI02           2022-11-08 12:55:19.779170 11.2953  
IOC_TEST:m0s005-AI03           2022-11-08 12:55:19.779170 11.6766  
IOC_TEST:m0s005-AI01           2022-11-08 12:55:19.879170 11.5373  
IOC_TEST:m0s005-AI02           2022-11-08 12:55:19.879170 11.3007  
IOC_TEST:m0s005-AI03           2022-11-08 12:55:19.879170 11.6733  
IOC_TEST:m0s005-AI04           2022-11-08 12:55:19.879170 12.0239  
IOC_TEST:m0s005-AI01           2022-11-08 12:55:19.979154 11.5354  
IOC_TEST:m0s005-AI02           2022-11-08 12:55:19.979154 11.2953  
IOC_TEST:m0s005-AI03           2022-11-08 12:55:19.979154 11.6755  
IOC_TEST:m0s005-AI04           2022-11-08 12:55:19.979154 12.0232  
IOC_TEST:m0s005-AI01           2022-11-08 12:55:20.079140 11.5431  
IOC_TEST:m0s005-AI02           2022-11-08 12:55:20.079140 11.292  
IOC_TEST:m0s005-AI03           2022-11-08 12:55:20.079140 11.6733  
IOC_TEST:m0s005-AI04           2022-11-08 12:55:20.079140 12.0253  
IOC_TEST:m0s005-AI01           2022-11-08 12:55:20.179147 11.5421  
IOC_TEST:m0s005-AI02           2022-11-08 12:55:20.179147 11.2963  
IOC_TEST:m0s005-AI04           2022-11-08 12:55:20.179147 12.0232  
IOC_TEST:m0s005-AI01           2022-11-08 12:55:20.279157 11.5354  
IOC_TEST:m0s005-AI02           2022-11-08 12:55:20.279157 11.3007  
IOC_TEST:m0s005-AI03           2022-11-08 12:55:20.279157 11.6766  
IOC_TEST:m0s005-AI04           2022-11-08 12:55:20.279157 12.0224  
IOC_TEST:m0s005-AI01           2022-11-08 12:55:20.379167 11.5382  
IOC_TEST:m0s005-AI02           2022-11-08 12:55:20.379167 11.2953  
IOC_TEST:m0s005-AI03           2022-11-08 12:55:20.379167 11.6733  
IOC_TEST:m0s005-AI04           2022-11-08 12:55:20.379167 12.0239  
IOC_TEST:m0s005-AI01           2022-11-08 12:55:20.479167 11.5392  
IOC_TEST:m0s005-AI02           2022-11-08 12:55:20.479167 11.2963  
IOC_TEST:m0s005-AI01           2022-11-08 12:55:20.579169 11.5402  
IOC_TEST:m0s005-AI03           2022-11-08 12:55:20.579169 11.6744  
IOC_TEST:m0s005-AI04           2022-11-08 12:55:20.579169 12.0232  
IOC_TEST:m0s005-AI01           2022-11-08 12:55:20.679169 11.5431  
IOC_TEST:m0s005-AI02           2022-11-08 12:55:20.679169 11.2887  
IOC_TEST:m0s005-AI03           2022-11-08 12:55:20.679169 11.6723  
IOC_TEST:m0s005-AI04           2022-11-08 12:55:20.679169 12.0224  
IOC_TEST:m0s005-AI01           2022-11-08 12:55:20.779171 11.5373  
IOC_TEST:m0s005-AI02           2022-11-08 12:55:20.779171 11.2996  
IOC_TEST:m0s005-AI03           2022-11-08 12:55:20.779171 11.6744  
IOC_TEST:m0s005-AI04           2022-11-08 12:55:20.779171 12.0232  
IOC_TEST:m0s005-AI02           2022-11-08 12:55:20.879167 11.2963  
IOC_TEST:m0s005-AI03           2022-11-08 12:55:20.879167 11.6755  
IOC_TEST:m0s005-AI04           2022-11-08 12:55:20.879167 12.0246  
IOC_TEST:m0s005-AI01           2022-11-08 12:55:21.079171 11.5402  
IOC_TEST:m0s005-AI03           2022-11-08 12:55:21.079171 11.6766  
IOC_TEST:m0s005-AI04           2022-11-08 12:55:21.079171 12.0253  
