TARGET_DU:Rotation-PosCmd      2022-12-01 14:07:05.249494 195  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:45.180834 194.9553  
TARGET_DU:Rotation-TorqueAct   2022-12-01 14:23:44.700721 0  
TARGET_DU:Rotation-VelAct      2022-12-01 14:23:45.190795 0.0644  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:45.308831 194.9552  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:45.308885 194.9553  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:45.308889 194.9552  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:45.308981 194.9553  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:45.309186 194.9552  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:45.309205 194.9553  
TARGET_DU:Rotation-VelAct      2022-12-01 14:23:45.309208 -0.0322  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:45.309211 194.9552  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:45.328866 194.9553  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:45.444891 194.9552  
TARGET_DU:Rotation-VelAct      2022-12-01 14:23:45.444925 -0.0179  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:45.444932 194.9553  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:45.494824 194.9552  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:45.495052 194.9553  
TARGET_DU:Rotation-VelAct      2022-12-01 14:23:45.495086 -0.0072  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:45.545758 194.9552  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:45.545796 194.9553  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:45.610821 194.9552  
TARGET_DU:Rotation-VelAct      2022-12-01 14:23:45.610866 -0.0858  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:45.610870 194.9553  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:45.610873 194.9552  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:45.620808 194.9553  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:45.632831 194.9552  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:45.644790 194.9553  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:45.680867 194.9552  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:45.680943 194.9553  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:45.690800 194.9552  
TARGET_DU:Rotation-VelAct      2022-12-01 14:23:45.690830 0  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:45.808889 194.9553  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:45.808916 194.9552  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:45.808919 194.9553  
TARGET_DU:Rotation-VelAct      2022-12-01 14:23:45.809116 0.0393  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:45.809134 194.9552  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:45.828844 194.9553  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:45.866914 194.9552  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:45.867017 194.9553  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:45.876821 194.9552  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:45.944895 194.9553  
TARGET_DU:Rotation-VelAct      2022-12-01 14:23:45.945047 -0.0072  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:45.945084 194.9552  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:45.945087 194.9553  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:45.945089 194.9552  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:45.994933 194.9553  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:45.995107 194.9552  
TARGET_DU:Rotation-VelAct      2022-12-01 14:23:45.995126 -0.0179  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:46.044865 194.9553  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:46.044896 194.9552  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:46.044916 194.9553  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:46.044919 194.9552  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:46.108884 194.9553  
TARGET_DU:Rotation-VelAct      2022-12-01 14:23:46.108914 -0.0072  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:46.144848 194.9552  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:46.158876 194.9553  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:46.181033 194.9552  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:46.190844 194.9553  
TARGET_DU:Rotation-VelAct      2022-12-01 14:23:46.190880 0.0036  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:46.201036 194.9552  
TARGET_DU:Rotation-TorqueAct   2022-12-01 14:23:46.201075 -0.1  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:46.258888 194.9553  
